2016-10-11 14:42:06 status half-installed libblkid1:i386 2.20.1-5.1ubuntu20
2016-10-11 14:42:06 status unpacked libblkid1:i386 2.20.1-5.1ubuntu20
2016-10-11 14:42:06 status unpacked libblkid1:i386 2.20.1-5.1ubuntu20
2016-10-11 14:42:06 install libbz2-1.0:i386 <none> 1.0.6-5
2016-10-11 14:42:06 status half-installed libbz2-1.0:i386 1.0.6-5
2016-10-11 14:42:06 status unpacked libbz2-1.0:i386 1.0.6-5
2016-10-11 14:42:06 status unpacked libbz2-1.0:i386 1.0.6-5
2016-10-11 14:42:07 install libc-bin:i386 <none> 2.19-0ubuntu6
2016-10-11 14:42:07 status half-installed libc-bin:i386 2.19-0ubuntu6
2016-10-11 14:42:07 status unpacked libc-bin:i386 2.19-0ubuntu6
2016-10-11 14:42:07 status unpacked libc-bin:i386 2.19-0ubuntu6
2016-10-11 14:42:07 upgrade libc6:i386 2.19-0ubuntu6 2.19-0ubuntu6
2016-10-11 14:42:07 status half-configured libc6:i386 2.19-0ubuntu6
2016-10-11 14:42:07 status unpacked libc6:i386 2.19-0ubuntu6
2016-10-11 14:42:07 status half-installed libc6:i386 2.19-0ubuntu6
2016-10-11 14:42:08 status half-installed libc6:i386 2.19-0ubuntu6
2016-10-11 14:42:08 status unpacked libc6:i386 2.19-0ubuntu6
2016-10-11 14:42:08 status unpacked libc6:i386 2.19-0ubuntu6
2016-10-11 14:42:08 install libcap2:i386 <none> 1:2.24-0ubuntu2
2016-10-11 14:42:08 status half-installed libcap2:i386 1:2.24-0ubuntu2
2016-10-11 14:42:08 status unpacked libcap2:i386 1:2.24-0ubuntu2
2016-10-11 14:42:08 status unpacked libcap2:i386 1:2.24-0ubuntu2
2016-10-11 14:42:08 install libcgmanager0:i386 <none> 0.24-0ubuntu5
2016-10-11 14:42:08 status half-installed libcgmanager0:i386 0.24-0ubuntu5
2016-10-11 14:42:08 status unpacked libcgmanager0:i386 0.24-0ubuntu5
2016-10-11 14:42:08 status unpacked libcgmanager0:i386 0.24-0ubuntu5
2016-10-11 14:42:08 install libcomerr2:i386 <none> 1.42.9-3ubuntu1
2016-10-11 14:42:08 status half-installed libcomerr2:i386 1.42.9-3ubuntu1
2016-10-11 14:42:08 status unpacked libcomerr2:i386 1.42.9-3ubuntu1
2016-10-11 14:42:08 status unpacked libcomerr2:i386 1.42.9-3ubuntu1
2016-10-11 14:42:08 install libdb5.3:i386 <none> 5.3.28-3ubuntu3
2016-10-11 14:42:08 status half-installed libdb5.3:i386 5.3.28-3ubuntu3
2016-10-11 14:42:08 status unpacked libdb5.3:i386 5.3.28-3ubuntu3
2016-10-11 14:42:08 status unpacked libdb5.3:i386 5.3.28-3ubuntu3
2016-10-11 14:42:08 install libdbus-1-3:i386 <none> 1.6.18-0ubuntu4
2016-10-11 14:42:08 status half-installed libdbus-1-3:i386 1.6.18-0ubuntu4
2016-10-11 14:42:08 status unpacked libdbus-1-3:i386 1.6.18-0ubuntu4
2016-10-11 14:42:08 status unpacked libdbus-1-3:i386 1.6.18-0ubuntu4
2016-10-11 14:42:08 install libdebconfclient0:i386 <none> 0.187ubuntu1
2016-10-11 14:42:08 status half-installed libdebconfclient0:i386 0.187ubuntu1
2016-10-11 14:42:08 status unpacked libdebconfclient0:i386 0.187ubuntu1
2016-10-11 14:42:08 status unpacked libdebconfclient0:i386 0.187ubuntu1
2016-10-11 14:42:08 install libdrm2:i386 <none> 2.4.52-1
2016-10-11 14:42:08 status half-installed libdrm2:i386 2.4.52-1
